Customer ID,Product ID,Product Category,Purchase Amount,Purchase Date
C055,P005,Books,40.32,2024-10-25
C241,P015,Grocery,26.46,2024-11-23
C105,P029,Electronics,274.93,2025-01-22
C136,P004,Home & Kitchen,92.17,2025-01-31
C346,P008,Health & Beauty,151.86,2025-02-15
C496,P035,Clothing,145.34,2024-09-11
C340,P005,Books,40.32,2024-10-01
C331,P031,Health & Beauty,133.54,2024-08-11
C153,P033,Books,21.5,2024-06-19
C371,P010,Clothing,30.34,2024-04-23
C019,P050,Books,42.74,2025-03-04
C081,P022,Grocery,36.29,2025-01-29
C317,P009,Health & Beauty,152.28,2025-03-28
C302,P001,Home & Kitchen,121.58,2024-06-13
C202,P014,Electronics,705.3,2024-07-11
C262,P021,Health & Beauty,41.17,2024-04-05
C180,P026,Electronics,227.2,2024-12-25
C239,P030,Electronics,830.78,2024-08-04
C483,P007,Clothing,110.63,2025-03-04
C168,P009,Health & Beauty,152.28,2024-09-25
C058,P008,Health & Beauty,151.86,2024-06-16
C371,P042,Grocery,39.25,2024-10-24
C002,P043,Grocery,15.66,2024-07-21
C099,P012,Grocery,47.66,2024-06-20
C443,P021,Health & Beauty,41.17,2024-04-12
C279,P004,Home & Kitchen,92.17,2024-07-05
C461,P018,Books,46.71,2024-10-18
C417,P037,Grocery,45.36,2024-10-27
C428,P023,Home & Kitchen,73.07,2024-11-04
C473,P041,Health & Beauty,60.05,2024-08-17
C308,P016,Grocery,29.39,2024-04-04
C344,P036,Grocery,15.28,2025-02-08
C384,P027,Grocery,47.56,2024-04-25
C463,P048,Health & Beauty,156.97,2024-06-26
C343,P031,Health & Beauty,133.54,2025-03-30
C461,P003,Health & Beauty,123.96,2024-06-13
C358,P010,Clothing,30.34,2025-02-09
C065,P012,Grocery,47.66,2024-11-25
C422,P044,Home & Kitchen,78.81,2024-08-22
C086,P024,Clothing,112.22,2024-06-23
C168,P032,Grocery,15.89,2024-09-17
C498,P027,Grocery,47.56,2024-10-29
C446,P010,Clothing,30.34,2024-12-16
C111,P049,Books,17.03,2024-06-14
C149,P021,Health & Beauty,41.17,2024-06-21
C356,P001,Home & Kitchen,121.58,2024-09-29
C344,P003,Health & Beauty,123.96,2024-05-04
C197,P014,Electronics,705.3,2025-03-14
C166,P049,Books,17.03,2025-01-24
C219,P043,Grocery,15.66,2024-08-18
C040,P038,Health & Beauty,30.84,2024-07-22
C078,P047,Books,40.03,2024-04-07
C406,P006,Home & Kitchen,145.28,2024-08-14
C451,P042,Grocery,39.25,2024-09-19
C124,P015,Grocery,26.46,2024-04-17
C297,P002,Clothing,195.25,2025-03-10
C446,P027,Grocery,47.56,2024-06-01
C024,P029,Electronics,274.93,2024-04-22
C424,P043,Grocery,15.66,2024-05-13
C456,P041,Health & Beauty,60.05,2025-02-18
C408,P024,Clothing,112.22,2025-01-30
C084,P009,Health & Beauty,152.28,2024-10-06
C263,P027,Grocery,47.56,2024-04-27
C193,P029,Electronics,274.93,2025-01-21
C096,P009,Health & Beauty,152.28,2024-05-17
C444,P020,Grocery,31.09,2025-02-20
C403,P037,Grocery,45.36,2024-10-17
C246,P024,Clothing,112.22,2024-08-18
C481,P013,Health & Beauty,96.71,2024-10-07
C294,P031,Health & Beauty,133.54,2025-02-25
C308,P034,Clothing,131.39,2025-03-05
C229,P038,Health & Beauty,30.84,2024-05-08
C479,P029,Electronics,274.93,2024-05-23
C447,P017,Home & Kitchen,197.59,2024-05-26
C452,P021,Health & Beauty,41.17,2024-11-01
C242,P007,Clothing,110.63,2024-08-27
C019,P034,Clothing,131.39,2024-08-23
C190,P010,Clothing,30.34,2025-02-01
C203,P009,Health & Beauty,152.28,2025-03-28
